CHEBI:28009	G49108TO
CHEBI:27931	G96370VA
CHEBI:14336	G99023OP
CHEBI:47537	G68320XZ
CHEBI:46987	G27752QD
CHEBI:47002	G15255MA
CHEBI:47013	G31080DL
CHEBI:27476	G51060EL
CHEBI:6182	G47203JO
CHEBI:4170	G97131OU
CHEBI:6178	G37615KF
CHEBI:47000	G85582BO
CHEBI:46996	G76849VA
CHEBI:46995	G81394BJ
CHEBI:46994	G91625IP
CHEBI:46993	G97554RV
CHEBI:46992	G09675SW
CHEBI:46991	G74211VF
CHEBI:47005	G69976ZM
CHEBI:47004	G40725TK
CHEBI:47010	G83311LS
CHEBI:47008	G33546ZK
CHEBI:47006	G75380KK
CHEBI:46983	G16391NR
CHEBI:47015	G23537ZN
CHEBI:47014	G55614WT
CHEBI:47012	G14742FX
CHEBI:47011	G44396YZ
CHEBI:43577	G34165VZ
CHEBI:40886	G86614XL
CHEBI:42754	G37455SB
CHEBI:42589	G85196CF
CHEBI:48095	G58862IB
CHEBI:48093	G61430RY
CHEBI:48092	G41308FS
CHEBI:48153	G05204ZT
CHEBI:47977	G80384UV
CHEBI:4251	G78840SV
CHEBI:4153	G66410IV
CHEBI:4141	G48426CT
CHEBI:14216	G85812LL
CHEBI:20993	G78578OA
CHEBI:4174	G76414HJ
CHEBI:40729	G70836OD
CHEBI:39731	G88333EG
CHEBI:20995	G28586QZ
CHEBI:23958	G74806KL
CHEBI:7027	G42792MV
CHEBI:2179	G25787TL
CHEBI:47987	G86373MG
CHEBI:47944	G44940RL
CHEBI:47933	G42291WV
CHEBI:47962	G84837AK
CHEBI:47953	G57856MN
CHEBI:47952	G33059TI
CHEBI:47946	G39333LG
CHEBI:47937	G20592PZ
CHEBI:47931	G89245QE
CHEBI:48042	G74672YG
CHEBI:47999	G22499KE
CHEBI:47998	G26313TI
CHEBI:47947	G71920HK
CHEBI:47939	G60054HW
CHEBI:47938	G29171KD
CHEBI:47571	G93554YM
CHEBI:47970	G32865NF
CHEBI:47969	G01836DX
CHEBI:47967	G94520VZ
CHEBI:47966	G62888MA
CHEBI:47936	G71004WS
CHEBI:47935	G72363BY
CHEBI:47934	G19970GR
CHEBI:48262	G41067CC
CHEBI:47954	G91388UH
CHEBI:48066	G56756HZ
CHEBI:47903	G18340JN
CHEBI:48300	G71815PL
CHEBI:48299	G86724BO
CHEBI:48204	G88735KU
CHEBI:48203	G02671KD
CHEBI:45804	G25993FV
CHEBI:44312	G99338DU
CHEBI:43394	G79824WM
CHEBI:42894	G70950BD
CHEBI:42564	G28403NS
CHEBI:42548	G96881BQ
CHEBI:42700	G22169DO
CHEBI:42090	G34845TQ
CHEBI:41076	G85923WX
CHEBI:2181	G82576YO
CHEBI:48928	G79555YY
CHEBI:48649	G60662XR
CHEBI:10295	G97732XI
CHEBI:48678	G74263LC
CHEBI:48674	G48018TT
CHEBI:48673	G84316SM
CHEBI:48657	G97856AY
CHEBI:48648	G49112VZ
CHEBI:48647	G74965BU
CHEBI:48677	G67103RA
CHEBI:48672	G34400GF
CHEBI:48670	G13509BS
CHEBI:48666	G45841JJ
CHEBI:48646	G94347PK
CHEBI:48645	G35230TA
CHEBI:48932	G18910TN
CHEBI:13022	G53074HT
CHEBI:13172	G96062UJ
CHEBI:15880	G50299EK
CHEBI:49026	G50850NI
CHEBI:15693	G99103VB
CHEBI:49143	G53042IM
CHEBI:49152	G58068OO
CHEBI:49148	G63034DF
CHEBI:49145	G02116NT
CHEBI:49132	G73696EZ
CHEBI:49003	G45927JD
CHEBI:4249	G08132VZ
CHEBI:7539	G67888YP
CHEBI:6307	G68690MA
CHEBI:1449	G96377XW
CHEBI:37655	G72316LD
CHEBI:49126	G04741BU
CHEBI:49135	G62090LW
CHEBI:49060	G46254FV
CHEBI:49059	G42696WA
CHEBI:49058	G40309LW
CHEBI:49056	G26869KN
CHEBI:49141	G75236KD
CHEBI:49069	G38916XK
CHEBI:49091	G63421LS
CHEBI:49090	G75036AR
CHEBI:49089	G39098HU
CHEBI:49088	G12918IM
CHEBI:49146	G33141UW
CHEBI:49128	G80130VI
